Station,District LGD Code,District,State LGD Code,State
Anakapalli,520,VISAKHAPATNAM,28,Andhra Pradesh
Bawapuram,511,KURNOOL,28,Andhra Pradesh
Chennur,504,CUDDAPAH,28,Andhra Pradesh
Kamalapuram,504,CUDDAPAH,28,Andhra Pradesh
Keesara,510,KRISHNA,28,Andhra Pradesh
Mantralayam,511,KURNOOL,28,Andhra Pradesh
Melliaputti,519,SRIKAKULAM,28,Andhra Pradesh
Naidupet,515,NELLORE,28,Andhra Pradesh
Nandipalli,504,CUDDAPAH,28,Andhra Pradesh
Nellore CWC,515,NELLORE,28,Andhra Pradesh
Paleru Bridge,510,KRISHNA,28,Andhra Pradesh
Polavaram site,748,ELURU,28,Andhra Pradesh
Singavaram,502,ANANTAPUR,28,Andhra Pradesh
Srikakulam,519,SRIKAKULAM,28,Andhra Pradesh
Sullurpet,515,NELLORE,28,Andhra Pradesh
Tadipatri,502,ANANTAPUR,28,Andhra Pradesh
Vijayawada,510,KRISHNA,28,Andhra Pradesh
AGRA (J.B.),118,AGRA,9,Uttar Pradesh
AGRA(POIYAGHAT),118,AGRA,9,Uttar Pradesh
Akbarpur,121,AMBEDKAR NAGAR,9,Uttar Pradesh
Allahabad,120,PRAYGRAJ,9,Uttar Pradesh
Ankinghat,157,KANPUR NAGAR,9,Uttar Pradesh
AURAIYA,122,AURAIYA,9,Uttar Pradesh
Ayodhya ,140,Ayodhya,9,Uttar Pradesh
Baghpat,124,BAGHPAT,9,Uttar Pradesh
Baleni,124,BAGHPAT,9,Uttar Pradesh
Balrampur,127,BALRAMPUR,9,Uttar Pradesh
Baluaghat ,187,VARANASI,9,Uttar Pradesh
BANDA,128,BANDA,9,Uttar Pradesh
Bansi ,182,SIDDHARTHNAGAR,9,Uttar Pradesh
Bareilly,130,BAREILLY,9,Uttar Pradesh
Basantpur_CWC,132,BIJNOR,9,Uttar Pradesh
Basti,131,BASTI,9,Uttar Pradesh
Basti D/S,131,BASTI,9,Uttar Pradesh
Basti U/S,131,BASTI,9,Uttar Pradesh
Bewar,166,MAINPURI,9,Uttar Pradesh
Bhinga,181,SHRAWASTI,9,Uttar Pradesh
Bhitaura,142,FATEHPUR,9,Uttar Pradesh
Birdghat ,148,GORAKHPUR,9,Uttar Pradesh
Bithoor,157,KANPUR NAGAR,9,Uttar Pradesh
B.K.Ghat,125,BAHRAICH,9,Uttar Pradesh
Chandradeepghat,147,GONDA,9,Uttar Pradesh
Chandrika Devi,162,LUCKNOW,9,Uttar Pradesh
Chopan,184,SONBHADRA,9,Uttar Pradesh
Dabri,180,Shahjhanpur,9,Uttar Pradesh
Dhaneta,130,BAREILLY,9,Uttar Pradesh
Duddhi,184,SONBHADRA,9,Uttar Pradesh
Elginbridge,129,BARABANKI,9,Uttar Pradesh
ETAWAH,139,ETAWAH,9,Uttar Pradesh
Faizabad U/S,140,Ayodhya,9,Uttar Pradesh
Fatehgarh,141,FARRUKHABAD,9,Uttar Pradesh
Gagan Moradabad,171,MORADABAD,9,Uttar Pradesh
Galeta,124,BAGHPAT,9,Uttar Pradesh
Garhmukteshwar,661,Hapur,9,Uttar Pradesh
Ghazipur (Veer Abdul Hamid Bridge),146,GHAZIPUR,9,Uttar Pradesh
Gomti Nagar,162,LUCKNOW,9,Uttar Pradesh
Gorakhpur D/S,148,GORAKHPUR,9,Uttar Pradesh
Gorakhpur U/S,148,GORAKHPUR,9,Uttar Pradesh
HAMIRPUR,149,HAMIRPUR,9,Uttar Pradesh
Hathi Khana,141,FARRUKHABAD,9,Uttar Pradesh
Jajmau,157,KANPUR NAGAR,9,Uttar Pradesh
Jaunpur,152,JAUNPUR,9,Uttar Pradesh
Jaunpur (MG Marg Bridge),152,JAUNPUR,9,Uttar Pradesh
Jhansi Mirjapur Road Bridge,149,HAMIRPUR,9,Uttar Pradesh
Kabir Ganj,173,PILIBHIT,9,Uttar Pradesh
Kachhlabridge,133,BUDAUN,9,Uttar Pradesh
"Kailas Mandir, Agra",118,AGRA,9,Uttar Pradesh
Kalanaur,177,SAHARANPUR,9,Uttar Pradesh
Kannauj ( Kali),155,KANNAUJ,9,Uttar Pradesh
Kanpur,157,KANPUR NAGAR,9,Uttar Pradesh
Kasganj,633,KASGANJ,9,Uttar Pradesh
Katri Umrauli,155,KANNAUJ,9,Uttar Pradesh
Kazipura,171,MORADABAD,9,Uttar Pradesh
KORA-OLD,142,FATEHPUR,9,Uttar Pradesh
LUCKNOW,162,LUCKNOW,9,Uttar Pradesh
Lucknow (Hanuman Setu),162,LUCKNOW,9,Uttar Pradesh
MAIGHAT,152,JAUNPUR,9,Uttar Pradesh
Mathura (Gokul Barrage),167,MATHURA,9,Uttar Pradesh
Mathura (Prayag ghat),167,MATHURA,9,Uttar Pradesh
Mawi ,660,SHAMLI,9,Uttar Pradesh
Mehandipur,155,KANNAUJ,9,Uttar Pradesh
Mejaroad,120,PRAYGRAJ,9,Uttar Pradesh
Mirzapur,170,MIRZAPUR,9,Uttar Pradesh
MOHANA,151,JALAUN,9,Uttar Pradesh
Moradabad,171,MORADABAD,9,Uttar Pradesh
NARHAN,135,CHANDAULI,9,Uttar Pradesh
Neemsar,183,SITAPUR,9,Uttar Pradesh
Noida,144,G.B. Nagar,9,Uttar Pradesh
Orai Rath Marg,151,JALAUN,9,Uttar Pradesh
Paliakalan,159,KHERI,9,Uttar Pradesh
Parmarth Ghat,157,KANPUR NAGAR,9,Uttar Pradesh
Parsohan Ghat,182,SIDDHARTHNAGAR,9,Uttar Pradesh
Pratapgarh,174,PRATAPGARH,9,Uttar Pradesh
PRATAPPUR,120,PRAYGRAJ,9,Uttar Pradesh
Rae bareli,175,Raibareli,9,Uttar Pradesh
RAJAPUR,136,CHITRAKOOT,9,Uttar Pradesh
RAJGHAT,161,LALITPUR,9,Uttar Pradesh
Rampur_GSM,176,RAMPUR,9,Uttar Pradesh
Regauli,148,GORAKHPUR,9,Uttar Pradesh
SAHIJINA,149,HAMIRPUR,9,Uttar Pradesh
Saidpur,146,GHAZIPUR,9,Uttar Pradesh
Seohara,132,BIJNOR,9,Uttar Pradesh
Shahjahanpur,180,Shahjhanpur,9,Uttar Pradesh
Shahzadpur,158,KAUSHAMBI,9,Uttar Pradesh
Shastri Bridge,120,PRAYGRAJ,9,Uttar Pradesh
Sitapur,183,SITAPUR,9,Uttar Pradesh
Sultanpur,185,SULTANPUR,9,Uttar Pradesh
Tanda D/S,121,AMBEDKAR NAGAR,9,Uttar Pradesh
Tanda U/S,121,AMBEDKAR NAGAR,9,Uttar Pradesh
Tiharkheda,130,BAREILLY,9,Uttar Pradesh
Todarpur,150,HARDOI,9,Uttar Pradesh
Turtipar,126,BALLIA,9,Uttar Pradesh
UDI,139,ETAWAH,9,Uttar Pradesh
Varanasi,187,VARANASI,9,Uttar Pradesh
V S Bridge,187,VARANASI,9,Uttar Pradesh
Yamuna Highway Road Bridge,118,AGRA,9,Uttar Pradesh
